month,geoid,tract,type
2018-10-01,36067006101,61.01,Aggravated assault
2018-10-01,36067004500,45,Burglary
2018-10-01,36067000600,06,Larceny
2018-10-01,36067001702,17.02,Larceny
2018-10-01,36067000700,07,Larceny
2018-10-01,36067000800,08,Larceny
2018-10-01,36067003200,32,Larceny
2018-10-01,36067000900,09,Larceny
2018-10-01,36067003500,35,Larceny
2018-10-01,36067002700,27,Larceny
2018-10-01,36067006101,61.01,Robbery
2018-10-01,36067005700,57,Aggravated assault
2018-10-01,36067000501,05.01,Aggravated assault
2018-10-01,36067001900,19,Burglary
2018-10-01,36067000800,08,Larceny
2018-10-01,36067003200,32,Larceny
2018-10-01,36067001400,14,Larceny
2018-10-01,36067001800,18,Larceny
2018-10-01,36067003602,36.02,Larceny
2018-10-01,36067004000,40,Larceny
2018-10-01,36067004400,44,Larceny
2018-10-01,36067004500,45,Larceny
2018-10-01,36067001900,19,Larceny
2018-10-01,36067005700,57,Robbery
2018-10-01,36067000700,07,Vehicle theft
2018-10-01,36067001702,17.02,Vehicle theft
2018-10-01,36067003900,39,Aggravated assault
2018-10-01,36067002101,21.01,Aggravated assault
2018-10-01,36067006101,61.01,Aggravated assault
2018-10-01,36067004302,43.02,Aggravated assault
2018-10-01,36067000400,04,Larceny
2018-10-01,36067003900,39,Larceny
2018-10-01,36067000200,02,Larceny
2018-10-01,36067004600,46,Larceny
2018-10-01,36067003200,32,Larceny
2018-10-01,36067004302,43.02,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067000600,06,Larceny
2018-10-01,36067004400,44,Burglary
2018-10-01,36067001000,10,Burglary
2018-10-01,36067004400,44,Burglary
2018-10-01,36067004302,43.02,Larceny
2018-10-01,36067000300,03,Larceny
2018-10-01,36067001600,16,Larceny
2018-10-01,36067004600,46,Larceny
2018-10-01,36067001900,19,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067005300,53,Robbery
2018-10-01,36067004900,49,Robbery
2018-10-01,36067004301,43.01,Vehicle theft
2018-10-01,36067002400,24,Aggravated assault
2018-10-01,36067003000,30,Aggravated assault
